VARIABLES="X","Y"
ZONE T="Mygrid",I=20,J=81,F=POINT
DT=(DOUBLE DOUBLE)
0.339265 0.601974
0.259028 0.746825
0.162226 0.92158
0.0457376 1.13188
-0.0940079 1.38416
-0.261035 1.68569
-0.459789 2.0445
-0.695056 2.46922
-0.971817 2.96886
-1.29502 3.55232
-1.66924 4.2279
0.699137 0.0361136
0.686451 0.0621813
0.670993 0.0939468
0.652164 0.132638
0.629243 0.179739
0.601358 0.23704
0.567462 0.306693
0.5263 0.391276
0.476375 0.493868
0.415907 0.618123
0.342801 0.768349
0.254602 0.949589
0.148467 1.16769
0.0211407 1.42933
-0.131042 1.74205
-0.312132 2.11417
-0.526491 2.55466
-0.778655 3.07283
-1.07313 3.67795
-1.41409 4.3786
0.745545 0.0313734
0.734163 0.0582819
0.720294 0.0910719
0.7034 0.131011
0.682835 0.179631
0.657816 0.23878
0.627405 0.310679
0.590474 0.397991
0.54568 0.503892
0.491428 0.632154
0.425836 0.787226
0.346703 0.974312
0.251477 1.19944
0.137239 1.46953
0.000698372 1.79233
-0.161778 2.17646
-0.354103 2.63115
-0.580348 3.16604
-0.844555 3.79067
-1.15047 4.51392
0.788953 0.0266734
0.778938 0.0543272
0.766735 0.0880255
0.751871 0.129071
0.733776 0.179038
0.711763 0.239825
0.685005 0.313716
0.65251 0.403446
0.613098 0.512281
0.565363 0.644096
0.507651 0.803462
0.438024 0.995731
0.354237 1.2271
0.253722 1.50466
0.133585 1.83641
-0.00937344 2.23118
-0.178594 2.69846
-0.37766 3.24817
-0.610128 3.8901
-0.879296 4.63338
0.829094 0.0220996
0.820506 0.0504003
0.810041 0.0848868
0.797295 0.126892
